id,service,region,description,unit,currency,usd_per_unit,price_scope,source_url,retrieved_on,notes
route53_private_query,Amazon Route 53,global,Private hosted-zone DNS query,query,USD,0,gross,https://aws.amazon.com/route53/pricing/,2026-09-06,Conditional Fargate service discovery; private hosted-zone DNS queries are free
fargate_arm_vcpu,Amazon ECS,ap-southeast-1,Fargate Linux ARM vCPU,vCPU-hour,USD,0.04045,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonECS/current/ap-southeast-1/index.json,2026-09-06,Per-second with a one-minute minimum
fargate_arm_memory,Amazon ECS,ap-southeast-1,Fargate Linux ARM memory,GB-hour,USD,0.00442,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonECS/current/ap-southeast-1/index.json,2026-09-06,Per-second with a one-minute minimum
fargate_ephemeral_extra,Amazon ECS,ap-southeast-1,Fargate ephemeral storage above included 20 GB,GB-hour,USD,0.000133,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonECS/current/ap-southeast-1/index.json,2026-09-06,Zero units in baseline
ecs_ec2_control_plane,Amazon ECS,ap-southeast-1,ECS EC2 launch-type service fee,service-hour,USD,0,gross,https://aws.amazon.com/ecs/pricing/,2026-09-06,Underlying EC2 and EBS are charged separately
rds_pg_t4g_micro,Amazon RDS,ap-southeast-1,PostgreSQL db.t4g.micro Single-AZ On-Demand instance,instance-hour,USD,0.025,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,UAT primary and UAT restore class
rds_pg_t4g_small,Amazon RDS,ap-southeast-1,PostgreSQL db.t4g.small Single-AZ On-Demand instance,instance-hour,USD,0.051,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Production primary and production restore class
rds_pg_gp3_storage,Amazon RDS,ap-southeast-1,PostgreSQL gp3 storage,GB-month,USD,0.138,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,No extra IOPS or throughput provisioned
rds_t4g_surplus,Amazon RDS,ap-southeast-1,RDS T4g unlimited-mode surplus CPU credit,vCPU-hour,USD,0.075,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Explicit surplus-vCPU-hour sensitivities; hosted CPU use remains unknown
rds_backup_extra,Amazon RDS,ap-southeast-1,Backup storage beyond the regional included allowance,GB-month,USD,0.095,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Scenario input prices backup bytes beyond the regional allowance
aurora_serverless_v2_acu,Amazon Aurora,ap-southeast-1,Aurora PostgreSQL Serverless v2 standard capacity,ACU-hour,USD,0.20,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Scenario average ACU is explicit
aurora_storage,Amazon Aurora,ap-southeast-1,Aurora standard storage,GB-month,USD,0.11,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Cluster storage
aurora_io,Amazon Aurora,ap-southeast-1,Aurora standard input/output operations,I/O,USD,0.00000022,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Scenario I/O count is explicit
aurora_backup_extra,Amazon Aurora,ap-southeast-1,Aurora backup storage beyond included allowance,GB-month,USD,0.023,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonRDS/current/ap-southeast-1/index.json,2026-09-06,Scenario input is zero in low cases and nonzero in expected and high cases
s3_standard_storage,Amazon S3,ap-southeast-1,S3 Standard first 50 TB,GB-month,USD,0.025,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonS3/current/ap-southeast-1/index.json,2026-09-06,Decimal GB pricing input
s3_get,Amazon S3,ap-southeast-1,S3 Standard GET and other read request,request,USD,0.0000004,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonS3/current/ap-southeast-1/index.json,2026-09-06,Published price normalized from 10000 requests
s3_put,Amazon S3,ap-southeast-1,S3 Standard PUT COPY POST LIST request,request,USD,0.000005,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonS3/current/ap-southeast-1/index.json,2026-09-06,Published price normalized from 1000 requests
cloudfront_asia_data,Amazon CloudFront,global,Asia viewer data transfer out first 10 TB,GB,USD,0.12,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudFront/current/index.json,2026-09-06,All viewer bytes conservatively assigned to Asia tier
cloudfront_asia_https,Amazon CloudFront,global,Asia HTTPS viewer request,request,USD,0.0000012,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudFront/current/index.json,2026-09-06,Published price normalized from 10000 requests
cloudfront_function,Amazon CloudFront,global,CloudFront Functions invocation,invocation,USD,0.0000001,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudFront/current/index.json,2026-09-06,Gross marginal rate; monthly allowance is a separate adjustment
cloudfront_invalidation,Amazon CloudFront,global,Invalidation path above the monthly allowance,path,USD,0.005,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudFront/current/index.json,2026-09-06,Gross marginal rate applied to all scenario paths; first 1000 paths are an eligibility adjustment
cloudwatch_log_ingest,Amazon CloudWatch,ap-southeast-1,CloudWatch Logs standard ingestion,GB,USD,0.70,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,Container Insights performance events are included in scenario log volume
cloudwatch_log_storage,Amazon CloudWatch,ap-southeast-1,CloudWatch Logs archive storage,GB-month,USD,0.03,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,180-day retention modeled from steady ingestion
cloudwatch_custom_metric,Amazon CloudWatch,ap-southeast-1,Custom metric first 10000,metric-month,USD,0.30,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,Includes standard ECS Container Insights metrics
cloudwatch_alarm,Amazon CloudWatch,ap-southeast-1,Standard-resolution metric alarm,alarm-month,USD,0.10,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,EventBridge-only notifications do not add alarm units
cloudwatch_api_request,Amazon CloudWatch,ap-southeast-1,CloudWatch API request,request,USD,0.00001,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,Published price normalized from 1000 requests; operation-specific exceptions remain an input
cloudwatch_logs_insights,Amazon CloudWatch,ap-southeast-1,CloudWatch Logs Insights data scanned,GB,USD,0.007,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonCloudWatch/current/ap-southeast-1/index.json,2026-09-06,Manual and dashboard query scans are scenario inputs
cloudwatch_dashboard,Amazon CloudWatch,global,CloudWatch dashboard,dashboard-month,USD,3.00,gross,https://aws.amazon.com/cloudwatch/pricing/,2026-09-06,Gross price; first-three-dashboard allowance is separate
cloudwatch_cf_standard,Amazon CloudWatch,us-east-1,Default CloudFront distribution metrics,distribution-month,USD,0,gross,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/viewing-cloudfront-metrics.html,2026-09-06,5xx alarm uses standard CloudFront metric in us-east-1
cloudwatch_cf_additional,Amazon CloudWatch,us-east-1,Additional CloudFront metric,metric-month,USD,0.30,gross,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/viewing-cloudfront-metrics.html,2026-09-06,Zero enabled in baseline; up to eight would be charged
eventbridge_scheduler,Amazon EventBridge,ap-southeast-1,Scheduler invocation,invocation,USD,0.00000125,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AWSEvents/current/ap-southeast-1/index.json,2026-09-06,Gross marginal rate; 14 million monthly allowance is separate
ecr_storage,Amazon ECR,ap-southeast-1,Private registry storage,GB-month,USD,0.10,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonECR/current/ap-southeast-1/index.json,2026-09-06,Shared retained four-repository registry
ecr_in_region_transfer,Amazon ECR,ap-southeast-1,ECR transfer to ECS or EC2 in the same Region,GB,USD,0,gross,https://aws.amazon.com/ecr/pricing/,2026-09-06,Image pushes into ECR and same-Region runtime pulls incur no transfer charge
kms_key,AWS KMS,ap-southeast-1,Customer-managed KMS key,key-month,USD,1.00,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/awskms/current/ap-southeast-1/index.json,2026-09-06,State key plus one retained secrets key per environment
kms_rotated_key_material,AWS KMS,ap-southeast-1,First or second rotated key material version,key-version-month,USD,1.00,gross,https://aws.amazon.com/kms/pricing/,2026-09-06,Fresh-key baseline is zero; the first and second rotations each add one billable version per key
kms_request,AWS KMS,ap-southeast-1,Symmetric KMS request,request,USD,0.000003,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/awskms/current/ap-southeast-1/index.json,2026-09-06,Published price normalized from 10000 requests
ssm_standard_parameter,AWS Systems Manager,ap-southeast-1,Standard Parameter Store parameter,parameter-month,USD,0,gross,https://aws.amazon.com/systems-manager/pricing/,2026-09-06,Advanced parameters and high-throughput API mode are excluded
ses_recipient,Amazon SES,ap-southeast-1,Outbound email recipient,recipient,USD,0.0001,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonSES/current/ap-southeast-1/index.json,2026-09-06,Existing shared-email stack; sandbox exit remains a prerequisite
ses_attachment,Amazon SES,ap-southeast-1,Outbound attachment bytes,GB,USD,0.12,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonSES/current/ap-southeast-1/index.json,2026-09-06,Zero attachment GB in baseline
sns_request,Amazon SNS,ap-southeast-1,Standard API request,request,USD,0.0000005,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonSNS/current/ap-southeast-1/index.json,2026-09-06,Gross marginal rate; one-million-request allowance separate
sns_email_delivery,Amazon SNS,ap-southeast-1,Email notification delivery,notification,USD,0.00002,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonSNS/current/ap-southeast-1/index.json,2026-09-06,Gross marginal rate; first-thousand allowance separate
sns_sqs_delivery,Amazon SNS,ap-southeast-1,SNS delivery to SQS,notification,USD,0,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AmazonSNS/current/ap-southeast-1/index.json,2026-09-06,SQS API requests remain chargeable
sqs_standard_request,Amazon SQS,ap-southeast-1,Standard queue request,request,USD,0.0000004,gross,https://pricing.us-east-1.amazonaws.com/offers/v1.0/aws/AWSQueueService/current/ap-southeast-1/index.json,2026-09-06,Gross marginal rate; one-million-request allowance separate
acm_integrated_public_cert,AWS Certificate Manager,global,Non-exportable public certificate used by integrated AWS services,certificate-month,USD,0,gross,https://aws.amazon.com/certificate-manager/pricing/,2026-09-06,CloudFront certificate in us-east-1
cloudflare_dns_record,Cloudflare,global,DNS record in the existing aboutme.vn zone,record-month,USD,0,existing-zone incremental,https://developers.cloudflare.com/dns/faq/,2026-09-06,Cloudflare offers free DNS on all plans; record quota depends on plan and zone age; existing zone subscription is excluded
github_arm64_minute,GitHub Actions,global,Private-repository standard ARM64 Linux runner,minute,USD,0.005,gross,https://docs.github.com/en/billing/reference/actions-runner-pricing,2026-09-06,Each job rounds up to a whole minute; allowances depend on plan and shared use
github_artifact_storage,GitHub Actions,global,Actions artifact storage,GB-month,USD,0.25,gross,https://docs.github.com/en/billing/concepts/product-billing/github-actions,2026-09-06,Eligibility and included storage depend on account plan
github_cache_storage,GitHub Actions,global,Actions cache storage,GB-month,USD,0.07,gross,https://docs.github.com/en/billing/concepts/product-billing/github-actions,2026-09-06,Eligibility and included storage depend on account plan
github_enterprise_user,GitHub Enterprise Cloud,global,Enterprise Cloud advertised starting price for the first 12 months,user-month,USD,21.00,conditional,https://github.com/pricing,2026-09-06,Not a verified renewal rate or single-month commitment; required-reviewer availability makes plan and namespace an unresolved purchase decision
